Date,Time with mobile game active (min),Time(s) of day (if applicable),Class,Time in class/lecture (hrs),Time spent in study spaces (hrs),Time spent at friends' (hrs),Number of Assignments Due,Limited-Time game event
1/26/2026,11,8 p.m.,no,0,0,2.23,2,yes
1/27/2026,54,"2 p.m., 3 p.m.",yes,1.25,3,6.9,3,yes
1/28/2026,10,11 p.m.,yes,2.08,1.58,0,2,yes
1/29/2026,17,7 p.m.,yes,1.33,0,0,1,yes
1/30/2026,12,9 p.m.,no,0,0,0,2,yes
1/31/2026,11,1 p.m.,no,0,0,0,0,yes
2/1/2026,9,10 p.m.,no,0,0,0,0,yes
2/2/2026,42,9 p.m.,yes,1.25,0,2.18,0,yes
2/3/2026,14,8 p.m.,yes,2.5,0,0,0,no
2/4/2026,14,7 p.m.,yes,1.75,1.75,1.17,1,no
2/5/2026,12,10 p.m.,yes,2,1.67,0,1,no
2/6/2026,11,11 a.m.,yes,1.75,0,0,0,no
2/7/2026,5,5 p.m,no,0,0,0,0,no
2/8/2026,42,8 p.m.,no,0,0,0,2,no
2/9/2026,17,10 p.m.,yes,2.5,1.5,0,0,no
2/10/2026,10,11 a.m.,yes,2.5,0,2.67,1,no
2/11/2026,14,10 p.m.,yes,3,2,0,0,yes
2/12/2026,9,6 p.m.,yes,0.92,2.83,0,2,yes
2/13/2026,0,N/A,no,0,0,0,3,yes
2/15/2026,5,7 p.m.,no,0,0,0,4,yes
2/17/2026,0,N/A,yes,1.25,0,0,4,no
2/18/2026,0,N/A,yes,1.83,4.03,0,4,yes
2/23/2026,16,10 p.m.,no,0,0,0,3,yes
2/24/2026,0,N/A,yes,1.25,0,0,2,yes
2/25/2026,0,N/A,yes,2.92,2.58,0,2,yes
2/26/2026,16,10 p.m.,yes,1.25,0,4.25,2,yes
3/1/2026,0,N/A,no,0,0,0,1,yes
3/2/2026,11,1 a.m.,yes,1,0,0,2,yes
3/3/2026,0,N/A,yes,1.333333333,0,0,2,yes
3/4/2026,0,N/A,yes,2.833333333,2.333333333,0,2,yes
3/5/2026,6,10 p.m.,yes,2.666666667,0.5,6.083333333,2,yes
3/6/2026,5,1 p.m.,yes,1.5,0,1.166666667,2,yes
3/14/2026,0,N/A,no,0,0,0,2,yes
3/15/2026,17,10 p.m.,no,0,0,0,0,yes
,,,,,,,,
